 Airline TicketPrice Month   Count
      AS      181.30     1  327324
      AS      172.90     2  327324
      AS      176.08     3  327324
      AS      173.24     4  327324
      AS      171.36     5  327324
      AS      169.36     6  327324
      AS      165.11     7  327324
      AS      165.20     8  327324
      AS      166.47     9  327324
      AS      167.76    10  327324
      AS      173.60    11  327324
      AS      175.75    12  327324
      UA      858.60     1 1034846
      UA      843.90     2 1034846
      UA      861.56     3 1034846
      UA      868.56     4 1034846
      UA      862.08     5 1034846
      UA      890.43     6 1034846
      UA      893.18     7 1034846
      UA      886.44     8 1034846
      UA      849.15     9 1034846
      UA      844.22    10 1034846
      UA      850.95    11 1034846
      UA      878.85    12 1034846
      EV      275.00     1 1472944
      EV      271.92     2 1472944
      EV      271.76     3 1472944
      EV      273.00     4 1472944
      EV      273.00     5 1472944
      EV      272.62     6 1472944
      EV      272.85     7 1472944
      EV      271.66     8 1472944
      EV      270.60     9 1472944
      EV      272.16    10 1472944
      EV      275.60    11 1472944
      EV      276.66    12 1472944
      B6      477.93     1  511720
      B6      475.60     2  511720
      B6      474.15     3  511720
      B6      472.57     4  511720
      B6      455.84     5  511720
      B6      457.38     6  511720
      B6      451.53     7  511720
      B6      451.80     8  511720
      B6      439.21     9  511720
      B6      444.27    10  511720
      B6      463.68    11  511720
      B6      470.58    12  511720
      DL      498.20     1 1609477
      DL      494.27     2 1609477
      DL      491.25     3 1609477
      DL      481.65     4 1609477
      DL      472.50     5 1609477
      DL      478.41     6 1609477
      DL      483.84     7 1609477
      DL      482.22     8 1609477
      DL      461.82     9 1609477
      DL      464.34    10 1609477
      DL      465.12    11 1609477
      DL      491.40    12 1609477
      AA      480.94     1 1115470
      AA      473.60     2 1115470
      AA      472.50     3 1115470
      AA      468.60     4 1115470
      AA      466.90     5 1115470
      AA      462.60     6 1115470
      AA      462.00     7 1115470
      AA      461.37     8 1115470
      AA      457.50     9 1115470
      AA      457.60    10 1115470
      AA      464.80    11 1115470
      AA      476.55    12 1115470
      OO      262.80     1 1279696
      OO      254.80     2 1279696
      OO      255.60     3 1279696
      OO      253.08     4 1279696
      OO      252.30     5 1279696
      OO      254.19     6 1279696
      OO      256.70     7 1279696
      OO      256.32     8 1279696
      OO      257.60     9 1279696
      OO      257.60    10 1279696
      OO      261.33    11 1279696
      OO      264.00    12 1279696
      US      478.80     1  858803
      US      468.95     2  858803
      US      477.52     3  858803
      US      464.82     4  858803
      US      467.63     5  858803
      US      473.36     6  858803
      US      471.68     7  858803
      US      469.68     8  858803
      US      452.88     9  858803
      US      455.00    10  858803
      US      466.52    11  858803
      US      475.53    12  858803
      WN      122.10     1 2395072
      WN      116.55     2 2395072
      WN      117.30     3 2395072
      WN      115.50     4 2395072
      WN      115.00     5 2395072
      WN      116.00     6 2395072
      WN      116.40     7 2395072
      WN      114.75     8 2395072
      WN      113.25     9 2395072
      WN      115.00    10 2395072
      WN      120.00    11 2395072
      WN      120.00    12 2395072
      MQ      274.85     1  855669
      MQ      279.45     2  855669
      MQ      275.20     3  855669
      MQ      269.10     4  855669
      MQ      266.00     5  855669
      MQ      265.20     6  855669
      MQ      266.05     7  855669
      MQ      264.00     8  855669
      MQ      260.10     9  855669
      MQ      258.30    10  855669
      MQ      262.65    11  855669
      MQ      268.32    12  855669
