 Airline TicketPrice Month   Count
      AA     480.940     1 1115470
      AA     473.600     2 1115470
      AA     472.500     3 1115470
      AA     468.600     4 1115470
      AA     466.900     5 1115470
      AA     462.600     6 1115470
      AA     462.000     7 1115470
      AA     461.355     8 1115470
      AA     457.500     9 1115470
      AA     457.600    10 1115470
      AA     464.800    11 1115470
      AA     476.550    12 1115470
      AS     181.300     1  327324
      AS     172.900     2  327324
      AS     176.080     3  327324
      AS     173.200     4  327324
      AS     171.360     5  327324
      AS     169.360     6  327324
      AS     165.110     7  327324
      AS     165.200     8  327324
      AS     166.470     9  327324
      AS     167.755    10  327324
      AS     173.600    11  327324
      AS     175.750    12  327324
      B6     477.930     1  511720
      B6     475.600     2  511720
      B6     474.150     3  511720
      B6     472.570     4  511720
      B6     455.840     5  511720
      B6     457.380     6  511720
      B6     451.530     7  511720
      B6     451.800     8  511720
      B6     439.210     9  511720
      B6     444.270    10  511720
      B6     463.680    11  511720
      B6     470.580    12  511720
      DL     498.200     1 1609477
      DL     494.270     2 1609477
      DL     491.250     3 1609477
      DL     481.650     4 1609477
      DL     472.500     5 1609477
      DL     478.410     6 1609477
      DL     483.840     7 1609477
      DL     482.220     8 1609477
      DL     461.820     9 1609477
      DL     464.340    10 1609477
      DL     465.120    11 1609477
      DL     491.400    12 1609477
      EV     275.000     1 1472944
      EV     271.920     2 1472944
      EV     271.760     3 1472944
      EV     273.000     4 1472944
      EV     273.000     5 1472944
      EV     272.620     6 1472944
      EV     272.850     7 1472944
      EV     271.660     8 1472944
      EV     270.600     9 1472944
      EV     272.160    10 1472944
      EV     275.600    11 1472944
      EV     276.660    12 1472944
      MQ     274.850     1  855669
      MQ     279.450     2  855669
      MQ     275.200     3  855669
      MQ     269.100     4  855669
      MQ     266.000     5  855669
      MQ     265.200     6  855669
      MQ     266.050     7  855669
      MQ     264.000     8  855669
      MQ     260.100     9  855669
      MQ     258.300    10  855669
      MQ     262.650    11  855669
      MQ     268.320    12  855669
      OO     262.800     1 1279696
      OO     254.800     2 1279696
      OO     255.600     3 1279696
      OO     253.080     4 1279696
      OO     252.300     5 1279696
      OO     254.190     6 1279696
      OO     256.700     7 1279696
      OO     256.320     8 1279696
      OO     257.600     9 1279696
      OO     257.600    10 1279696
      OO     261.330    11 1279696
      OO     264.000    12 1279696
      UA     858.600     1 1034846
      UA     843.900     2 1034846
      UA     861.560     3 1034846
      UA     868.560     4 1034846
      UA     862.080     5 1034846
      UA     890.430     6 1034846
      UA     893.140     7 1034846
      UA     886.440     8 1034846
      UA     849.150     9 1034846
      UA     844.220    10 1034846
      UA     850.950    11 1034846
      UA     878.850    12 1034846
      US     478.800     1  858803
      US     468.950     2  858803
      US     477.520     3  858803
      US     464.820     4  858803
      US     467.630     5  858803
      US     473.350     6  858803
      US     471.680     7  858803
      US     469.680     8  858803
      US     452.880     9  858803
      US     455.000    10  858803
      US     466.520    11  858803
      US     475.530    12  858803
      WN     122.100     1 2395072
      WN     116.550     2 2395072
      WN     117.300     3 2395072
      WN     115.500     4 2395072
      WN     115.000     5 2395072
      WN     116.000     6 2395072
      WN     116.400     7 2395072
      WN     114.750     8 2395072
      WN     113.250     9 2395072
      WN     115.000    10 2395072
      WN     120.000    11 2395072
      WN     120.000    12 2395072
