 Airline TicketPrice Month   Count
      AA    513.6958     1  532170
      AA    513.9237     2  532170
      AA    510.6988     3  532170
      AA    510.9653     4  532170
      AA    506.7019     5  532170
      AA    502.8843     6  532170
      AA    485.3332     9  532170
      AA    483.6284    10  532170
      AA    487.3983    11  532170
      AA    501.3860    12  532170
      AS    215.9325     1  151718
      AS    212.3747     2  151718
      AS    216.4386     3  151718
      AS    212.1075     4  151718
      AS    206.8867     5  151718
      AS    206.5281     6  151718
      AS    187.2887     9  151718
      AS    189.1873    10  151718
      AS    200.0817    11  151718
      AS    202.3908    12  151718
      B6    512.7124     1  242576
      B6    513.3284     2  242576
      B6    510.3360     3  242576
      B6    511.8458     4  242576
      B6    504.1976     5  242576
      B6    506.7081     6  242576
      B6    484.3890     9  242576
      B6    484.7701    10  242576
      B6    495.2613    11  242576
      B6    499.1693    12  242576
      DL    589.0090     1  750289
      DL    583.1981     2  750289
      DL    576.1387     3  750289
      DL    569.4670     4  750289
      DL    564.2918     5  750289
      DL    571.5371     6  750289
      DL    549.6749     9  750289
      DL    549.9845    10  750289
      DL    552.6807    11  750289
      DL    574.0327    12  750289
      EV    297.9501     1  695725
      EV    302.5534     2  695725
      EV    300.0012     3  695725
      EV    299.6671     4  695725
      EV    300.9571     5  695725
      EV    299.4703     6  695725
      EV    284.3624     9  695725
      EV    286.2350    10  695725
      EV    292.5422    11  695725
      EV    293.5643    12  695725
      MQ    294.3733     1  407720
      MQ    298.8950     2  407720
      MQ    288.5179     3  407720
      MQ    284.1086     4  407720
      MQ    279.0635     5  407720
      MQ    279.0390     6  407720
      MQ    283.3771     9  407720
      MQ    281.1609    10  407720
      MQ    283.9349    11  407720
      MQ    294.7232    12  407720
      OO    291.9896     1  599244
      OO    291.1342     2  599244
      OO    293.1418     3  599244
      OO    286.8400     4  599244
      OO    284.3948     5  599244
      OO    285.7348     6  599244
      OO    277.2948     9  599244
      OO    277.2900    10  599244
      OO    283.3260    11  599244
      OO    284.9482    12  599244
      UA    953.6063     1  486426
      UA    945.2618     2  486426
      UA    962.2544     3  486426
      UA    972.2107     4  486426
      UA    968.3255     5  486426
      UA    986.6157     6  486426
      UA    937.7826     9  486426
      UA    931.5840    10  486426
      UA    939.6518    11  486426
      UA    961.1066    12  486426
      US    581.5640     1  409420
      US    578.7489     2  409420
      US    586.7404     3  409420
      US    579.5912     4  409420
      US    586.5909     5  409420
      US    591.2026     6  409420
      US    551.5277     9  409420
      US    553.3366    10  409420
      US    562.6128    11  409420
      US    571.7674    12  409420
      WN    145.0429     1 1132222
      WN    144.2357     2 1132222
      WN    145.1830     3 1132222
      WN    144.1960     4 1132222
      WN    143.2285     5 1132222
      WN    145.8556     6 1132222
      WN    128.7912     9 1132222
      WN    131.3244    10 1132222
      WN    134.9331    11 1132222
      WN    135.4450    12 1132222
